"","ID","lang","Date","Source","len","Orig_Tweet","Tweet","Likes","RTs","Hashtags","UserMentionNames","UserMentionID","Name","Place","Followers","Friends"
"450519",1018553205829955584,"en","2018-07-15 17:49:42","Twitter for Android",107,"RT @FIFAWorldCup: adidas Golden Glove Award: 

?Thibaut COURTOIS (#BEL) 

#WorldCup https://t.co/S5xB7RBBdP","adidas Golden Glove Award Thibaut COURTOIS",0,17180,"BEL,WorldCup","FIFA World Cup","FIFAWorldCup","aristya dinda M","Manado-Ktg",574,453
"378632",1018558510718599168,"en","2018-07-15 18:10:47","Twitter for Android",96,"RT @premierleague: Dab with the #WorldCup? 

@paulpogba's completed it ? https://t.co/lmGdXE9WOG","Dab with the completed it",0,5353,"WorldCup","Premier League,Paul Pogba","premierleague,paulpogba","Nosa Isibor","Abuja. Lagos.",1080,1131
"435551",1018554137670189056,"en","2018-07-15 17:53:24","Twitter Web Client",140,"RT @9GAGFootball: 1998: France win their first #WorldCup? ? 
1998: Kylian Mbappé was born

2018: France win their second #WorldCup? ? 
2018…","France win their first Kylian Mbapp was born France win their second",0,122,"WorldCup,WorldCup","9GAG Football ?","9GAGFootball","lil nish","Kuala Lumpur",164,84
"57740",1013529104434397184,"en","2018-07-01 21:05:43","Twitter for iPhone",138,"RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?
#CRODEN #WorldCup https://t.co/2XfblBT7ki","Kasper Schmeichel takes the final award of the day",0,2239,"ManoftheMatch,CRODEN,WorldCup","FIFA World Cup ?,Budweiser","FIFAWorldCup,Budweiser","Dena Jones","Santa Clarita, CA",321,241
"403773",1018556323036876800,"en","2018-07-15 18:02:05","Twitter Web Client",140,"RT @ajplus: France just won the #WorldCup 

19 of its team's 23 players are immigrants or the children of immigrants 
?????????? https://t.…","France just won the of its teams players are immigrants or the children of immigrants",0,12142,"WorldCup","AJ+","ajplus","LocalizationTraining","San Jose, CA",175,1714
"230266",1016712854232129536,"en","2018-07-10 15:56:48","Twitter for Android",140,"RT @TrendinFootball: Hi guys, meet my sleepoholic friend. He's such a copycat, follows his team in everything. ? #WorldCup https://t.co/Hkq…","Hi guys meet my sleepoholic friend Hes such copycat follows his team in everything",0,5,"WorldCup","The Verbal Striker","TrendinFootball","rahuld","Chennai,India",6290,6916
"447598",1018553391524515840,"en","2018-07-15 17:50:27","Twitter for Android",129,"RT @goal: What a #WorldCup Luka Modric had! 

Your 2018 Golden Ball winner #CRO 

https://t.co/tuk8Wqh0kz https://t.co/PKSZ08psFV","What Luka Modric had Your Golden Ball winner",0,181,"WorldCup,CRO","Goal","goal","??SAP? ?13","Haiti",2238,878
"368799",1018559481301602304,"en","2018-07-15 18:14:38","Mobile Web (M2)",140,"RT @DDNewsLive: So much talent in one picture! Two of the #WorldCup standout performers

Luka Modric - Golden Ball Award
Kylian Mbappe - FI…","So much talent in one picture Two of the standout performers Luka Modric Golden Ball Award Kylian Mbappe FI",0,303,"WorldCup","Doordarshan News","DDNewsLive","Life of Pablo","the world,Planet EARTH",163,261
"430433",1018554471662661632,"en","2018-07-15 17:54:44","Twitter for Android",60,"RT @IndyFootball: Iconic.

#WorldCup https://t.co/88rnzgLzAg","Iconic",0,258,"WorldCup","Indy Football","IndyFootball","Lenux on the flux","cafet' du CROUS",181,232
"309531",1017132551280963584,"en","2018-07-11 19:44:32","Twitter for Android",119,"RT @karenmoncur: ""@MamaMolly2018: LET'S GO ENGLAND!!!!!!! https://t.co/Ttv3GfB4tW"" What Molly said!! #England #WorldCup","LETs GO ENGLAND What Molly said",0,1,"England,WorldCup","Karen Moncur,Molly","karenmoncur,MamaMolly2018","Molly","Pennsylvania, USA",14368,13259
"296808",1016813807749009408,"en","2018-07-10 22:37:57","Twitter for Android",121,"RT @Pornhub: We've updated our Diving, Public Humiliation and Crying categories. Enjoy. #WorldCup https://t.co/NcEIBSFO8b","We have updated our Diving Public Humiliation and Crying categories Enjoy",0,16747,"WorldCup","Pornhub ARIA","Pornhub","Danielovsky","Sinaloa, México",38,58
"433302",1018554287981355008,"en","2018-07-15 17:54:00","Twitter for Android",107,"RT @FIFAWorldCup: adidas Golden Glove Award: 

?Thibaut COURTOIS (#BEL) 

#WorldCup https://t.co/S5xB7RBBdP","adidas Golden Glove Award Thibaut COURTOIS",0,16938,"BEL,WorldCup","FIFA World Cup","FIFAWorldCup","sanjeev jha!","????? ???,?? ?????? - (????)",1030,107
"13383",1013570413748580352,"en","2018-07-01 23:49:52","Twitter for Android",93,"RT @IsiahWhitlockJr: Deciding #WorldCup games with penalty shootouts? https://t.co/40axqR5Hqi","Deciding games with penalty shootouts",0,65,"WorldCup","Isiah Whitlock Jr.","IsiahWhitlockJr","dluippold is an unmovable bureaucratic monster","San Diego",404,2246
"269118",1016753097668898816,"en","2018-07-10 18:36:43","Twitter for iPhone",125,"RT @JackButland_One: Had to pay extra attention to this one! When you see it... #ThreeLions #WorldCup https://t.co/QL975DbakZ","Had to pay extra attention to this one When you see it",0,438,"ThreeLions,WorldCup","Jack Butland","JackButland_One","Ali Al Majid/McSpeed","Doha, Qatar",435,429
"407625",1018556035051741184,"en","2018-07-15 18:00:57","Twitter for Android",140,"RT @ajplus: France just won the #WorldCup 

19 of its team's 23 players are immigrants or the children of immigrants 
?????????? https://t.…","France just won the of its teams players are immigrants or the children of immigrants",0,12176,"WorldCup","AJ+","ajplus","Rosannae Chhouk","Missouri, USA",46,267
"389676",1018557491783716864,"en","2018-07-15 18:06:44","Twitter for iPad",114,"RT @ManUtd: .@paulpogba - WORLD CUP CHAMPION ?. 
Congratulations! 
#worldcup #heretocreate https://t.co/TYywiJ0Jg1","WORLD CUP CHAMPION Congratulations",0,18133,"worldcup,heretocreate","Manchester United,Paul Pogba","ManUtd,paulpogba","? Ennik Schnauzer ?","Los Angeles, CA",180,221
"269424",1016752932086272000,"en","2018-07-10 18:36:04","Twitter Web Client",139,"RT @jasonballau: In Russia it’s illegal to display the LGBT pride flag. So during the #WorldCup these 6 football fans have formed a hidden…","In Russia it illegal to display the LGBT pride flag So during the these football fans have formed hidden",0,15342,"WorldCup","Jason Ball","jasonballau","Alex B. Smith Sports","axsmithsports@gmail.com",3287,3577
"465917",1018552308349616128,"en","2018-07-15 17:46:08","Twitter for Android",140,"RT @KhaledBeydoun: Dear France, 

Congratulations on winning the #WorldCup. 

80% of your team is African, cut out the racism and xenophobi…","Dear France Congratulations on winning the of your team is African cut out the racism and xenophobi",0,47565,"WorldCup","Khaled Beydoun","KhaledBeydoun","Hashijat","Manchester, England",10,92
"244948",1016699535094099968,"en","2018-07-10 15:03:53","Twitter for Android",139,"RT @jasonballau: In Russia it’s illegal to display the LGBT pride flag. So during the #WorldCup these 6 football fans have formed a hidden…","In Russia it illegal to display the LGBT pride flag So during the these football fans have formed hidden",0,11666,"WorldCup","Jason Ball","jasonballau","courtney","a film by yorgos lanthimos",296,235
"140988",1013219890830987264,"en","2018-07-01 00:37:01","Twitter for Android",107,"RT @FutbolBible: Cristiano Ronaldo bumping into Leo Messi at the airport. #WorldCup https://t.co/r9TAkUFf0c","Cristiano Ronaldo bumping into Leo Messi at the airport",0,1117,"WorldCup","FutbolBible |WorldCup","FutbolBible","???","Heaven",6581,6606
"37793",1013540598907797504,"en","2018-07-01 21:51:24","Twitter for iPhone",140,"RT @FIFAWorldCup: ?????
The moment hosts Russia booked a place in the #WorldCup quarter-finals…
Those celebrations ?

? Highlights  ? https…","The moment hosts Russia booked place in the quarter finals Those celebrations Highlights https",0,2114,"WorldCup","FIFA World Cup ?","FIFAWorldCup","Snowmahn","Accra, Ghana",791,2890
"53025",1013530852817625088,"en","2018-07-01 21:12:40","Twitter Web Client",140,"RT @Squawka: Only two goalkeepers have saved three penalties in a #WorldCup penalty shoot-out: 

1/7/2006: #POR's Ricardo vs. #ENG 

1/7/20…","Only two goalkeepers have saved three penalties in penalty shoot out Ricardo vs",0,479,"WorldCup,POR,ENG","Squawka Football","Squawka","Oluwasegun Haziz","Lagos",1359,1799
"179224",1013102760206757888,"en","2018-06-30 16:51:35","Twitter for Android",113,"RT @FootyHumour: Kylian Mbappe was only 19 when he annihilated Argentina in the #WorldCup https://t.co/bwBBrHbTy5","Kylian Mbappe was only when he annihilated Argentina in the",0,2578,"WorldCup","Footy Humour","FootyHumour","Jedi scum","estadio da Luz",1043,1024
"291494",1016819522039402496,"en","2018-07-10 23:00:40","Twitter for iPad",106,"RT @CoveBilly: This was the nuts!! ?? #ItsComingHome #WorldCup #England #RAF100 ?? https://t.co/0awPszZmtK","This was the nuts",0,186,"ItsComingHome,WorldCup,England,RAF100","Billy Cove","CoveBilly","KingHenryVIII ??","Guildford UK",1020,1984
"375626",1018558811668451328,"en","2018-07-15 18:11:59","Twitter for Android",140,"RT @SportPesa_Care: #WorldCup winners ?

1930: ??
1934: ??
1938: ??
1950: ??
1954: ??
1958: ??
1962: ??
1966: ???????
1970: ??
1974: ??
197…","winners",0,9,"WorldCup","SportPesa Care","SportPesa_Care","Georg","Kenya ---Nairobi",194,514
"227812",1012851301745491968,"en","2018-06-30 00:12:22","Twitter for Android",125,"RT @aeridays: @fifaworldcup_pt EXO Power please, we've got that POWER POWER :)

#EXO #?? #FIFAStadiumDJ #WorldCup@weareoneEXO","EXO Power please we have got that POWER POWER",0,494,"EXO,??,FIFAStadiumDJ,WorldCup","Aeri Days,Copa do Mundo FIFA ?","aeridays,fifaworldcup_pt","simple is sexy baby","United States",182,522
"489748",1.018551007394e+18,"en","2018-07-15 17:40:58","Twitter for iPhone",114,"RT @ManUtd: .@paulpogba - WORLD CUP CHAMPION ?. 
Congratulations! 
#worldcup #heretocreate https://t.co/TYywiJ0Jg1","WORLD CUP CHAMPION Congratulations",0,12057,"worldcup,heretocreate","Manchester United,Paul Pogba","ManUtd,paulpogba","Dylan","Arizona, USA",96,98
"167285",1013106822646063104,"en","2018-06-30 17:07:43","Twitter for iPad",40,"RT @luka7doncic: WHAT A GAME!! #worldcup","WHAT GAME",0,698,"worldcup","Luka Doncic","luka7doncic","A por la 14- 4ª seguida","Puerto Base : el Bernabeu .",42,141
"257233",1016734684900978688,"en","2018-07-10 17:23:33","Twitter for Android",100,"RT @BelRedDevils: ?? Gear ???

#HeretoCreate 
#REDTOGETHER
#WorldCup
#FRABEL https://t.co/Cl44PXhqa5","Gear",0,58,"HeretoCreate,REDTOGETHER,WorldCup,FRABEL","Belgian Red Devils","BelRedDevils","TrueBlue???","Radom, Polska",248,2425
"187717",1013100192386699264,"en","2018-06-30 16:41:23","Twitter for Android",78,"RT @DepressedDarth: Argentina fans right now #WorldCup https://t.co/NA8W4uA10Q","Argentina fans right now",0,243,"WorldCup","Darth Vader","DepressedDarth","Bruno 8/16bits","Fortaleza, CE - Brasil",102,138
"370540",1018559302360031232,"en","2018-07-15 18:13:56","Twitter for iPhone",131,"RT @FIFAWorldCup: ????
#FRA

France have won the 2018 FIFA #WorldCup in Moscow! 

#FRACRO // #WorldCupFinal https://t.co/fZhmJmxjVh","France have won the FIFA in Moscow",0,53380,"FRA,WorldCup,FRACRO,WorldCupFinal","FIFA World Cup","FIFAWorldCup","Monica.","Brisbane, Australia",226,273
"148116",1013210017871335424,"en","2018-06-30 23:57:47","Twitter for iPhone",144,"RT @FIFAWorldCup: ????
?????

Two of football's biggest ever stars depart the #WorldCup on the same day as #ARG &amp; #POR are eliminated.

But…","Two of footballs biggest ever stars depart the on the same day as are eliminated But",0,3847,"WorldCup,ARG,POR","FIFA World Cup ?","FIFAWorldCup","nati baixeras","Miami, FL",338,132
"270082",1016752662858141696,"en","2018-07-10 18:34:59","Twitter for Android",65,"RT @wakuma_glane: Giroud is useless..seriously! #FRABEL #WorldCup","Giroud is useless seriously",0,1,"FRABEL,WorldCup","Chronicles of .G™","wakuma_glane","Son of Moses","Nairobi Kenya",639,1592
"422963",1018554947112235008,"en","2018-07-15 17:56:37","Twitter for Android",129,"RT @goal: What a #WorldCup Luka Modric had! 

Your 2018 Golden Ball winner #CRO 

https://t.co/tuk8Wqh0kz https://t.co/PKSZ08psFV","What Luka Modric had Your Golden Ball winner",0,180,"WorldCup,CRO","Goal","goal","Motlatsi Mashaba","Nelspruit, South Africa",1487,47
"44754",1013535400336343040,"en","2018-07-01 21:30:44","Twitter for Android",138,"RT @Footy_JokesOG: ?? Kasper Schmeichel:

Saves penalty in Extra Time

Saves 2 penalties in shootout.

Still knocked out of the #WorldCup…","Kasper Schmeichel Saves penalty in Extra Time Saves penalties in shootout Still knocked out of the",0,803,"WorldCup","Footy Jokes","Footy_JokesOG","Davido","San Siro",571,382
"472380",1018551939271884800,"en","2018-07-15 17:44:40","Twitter for Android",95,"RT @SpursOfficial: Captain Hugo lifts the #WorldCup? ??

#WorldCupFinal https://t.co/VhSpis25IU","Captain Hugo lifts the",0,2102,"WorldCup,WorldCupFinal","Tottenham Hotspur","SpursOfficial","Steve Lazarus","London",1343,2610
"191066",1013099293715062784,"en","2018-06-30 16:37:48","Twitter for Android",79,"RT @FootyHumour: The new Argentina flag. #ARG #WorldCup https://t.co/wWsknHcbGt","The new Argentina flag",0,1353,"ARG,WorldCup","Footy Humour","FootyHumour","Afiq Kamil ??","Pulau Pinang, Malaysia",69,296
"455943",1018552878380666880,"en","2018-07-15 17:48:24","Twitter for Android",107,"RT @FIFAWorldCup: adidas Golden Glove Award: 

?Thibaut COURTOIS (#BEL) 

#WorldCup https://t.co/S5xB7RBBdP","adidas Golden Glove Award Thibaut COURTOIS",0,17394,"BEL,WorldCup","FIFA World Cup","FIFAWorldCup","???","Wherever you are...",337,228
"194899",1013098273089970176,"en","2018-06-30 16:33:45","Twitter for Android",290,"@Argentina The numbers speak 4 themselves. As a team, you've made it 2 this level 4 out of 5 World Cups. Therefore, the problem lies within your upper level management. Someone needs 2 get fired today #Argentina #ARG @TelemundoSports @Telemundo #WorldCup #MundialRusia2018 #MundialTelemundo","The numbers speak themselves As team you have made it this level out of World Cups Therefore the problem lies within your upper level management Someone needs get fired today",1,0,"Argentina,ARG,WorldCup,MundialRusia2018,MundialTelemundo","Selección Argentina,Telemundo Deportes,Telemundo","Argentina,TelemundoSports,Telemundo","SJ","Windy City, IL ??",187,322
"188395",1013100004960022528,"en","2018-06-30 16:40:38","Twitter for Android",140,"RT @GGG_by_Lia: Super #excited for tonights #WorldCup game

#Por v #URU 

What do U think???????

2 of my favs ?? #Ronaldo v ? #Suarez 

#P…","Super for tonights game What do think of my favs",0,3,"excited,WorldCup,Por,URU,Ronaldo,Suarez","Lia","GGG_by_Lia","maxlan™??","Nairobi, Kenya",2072,2013
"268438",1016753388967604224,"en","2018-07-10 18:37:52","Twitter Web Client",139,"RT @jasonballau: In Russia it’s illegal to display the LGBT pride flag. So during the #WorldCup these 6 football fans have formed a hidden…","In Russia it illegal to display the LGBT pride flag So during the these football fans have formed hidden",0,15338,"WorldCup","Jason Ball","jasonballau","Nana","Durham, England",915,1004
"480283",1018551493480370176,"en","2018-07-15 17:42:54","Twitter for iPhone",95,"RT @SpursOfficial: Captain Hugo lifts the #WorldCup? ??

#WorldCupFinal https://t.co/VhSpis25IU","Captain Hugo lifts the",0,2142,"WorldCup,WorldCupFinal","Tottenham Hotspur","SpursOfficial","Ryan Alex","Essex",443,1328
